FIRST,LAST,SUFFIX,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
Terence,Davis,,SG,SAC,64,13.1,0.423,0.791,1.4,2.2,1,0.7,0.2,0.8,6.7
Theo,Maledon,,PG,CHA,44,19.4,0.402,0.851,0.6,2.8,3.5,0.8,0.3,1.3,6.7
Anthony,Lamb,,F,GSW,62,19.3,0.471,0.767,1.2,3.5,1.5,0.5,0.3,0.9,6.7
Dwight,Powell,,C,DAL,76,19.2,0.732,0.667,0,4.1,0.9,0.6,0.3,0.9,6.7
David,Roddy,,F,MEM,70,18,0.429,0.631,0.9,2.8,0.8,0.4,0.3,0.8,6.7
Isaiah,Livers,,PF,DET,52,23.1,0.417,0.821,1.4,2.8,0.8,0.5,0.5,0.6,6.7
Nassir,Little,,SF,PHO,54,18.1,0.442,0.717,1.1,2.6,0.9,0.4,0.4,0.7,6.6
Drew,Eubanks,,PF,PHO,78,20.3,0.641,0.664,0.1,5.4,1.3,0.5,1.3,0.9,6.6
Jock,Landale,,C,HOU,69,14.2,0.528,0.752,0.3,4.1,1,0.2,0.4,0.9,6.6
Mo,Bamba,,C,PHI,49,15.7,0.485,0.661,1,4.6,0.9,0.3,0.9,0.6,6.6
Kevin,Knox,II,SF,POR,63,15.1,0.458,0.767,1,2.8,0.5,0.4,0.2,0.8,6.6
Jordan,Goodwin,,G,PHO,62,17.8,0.448,0.768,0.6,3.3,2.7,0.9,0.4,0.9,6.6
Cody,Zeller,,C,NOR,15,14.5,0.627,0.686,0,4.3,0.7,0.2,0.3,0.9,6.5
Brandon,Boston,Jr,SG,LAC,22,11.3,0.418,0.763,0.5,1.4,0.9,0.4,0,0.5,6.5
Jay,Scrubb,,G,BOS,2,15,0.714,0.5,1,3,0.5,1,0,1.5,6.5
Luka,Garza,,C,MIN,28,8.7,0.543,0.788,0.5,2.3,0.6,0.1,0.1,0.5,6.5
Isaac,Okoro,,SF,CLE,76,21.8,0.494,0.757,0.8,2.5,1.1,0.7,0.4,0.6,6.4
R.J.,Hampton,,G,MIA,47,16,0.43,0.75,0.9,1.9,1.1,0.6,0.2,0.9,6.4
JaMychal,Green,,F,GSW,57,14,0.54,0.776,0.7,3.6,0.9,0.4,0.4,0.9,6.4
Sam,Hauser,,SF,BOS,80,16.1,0.455,0.706,1.8,2.6,0.9,0.4,0.3,0.4,6.4
Duncan,Robinson,,F,MIA,42,16.4,0.371,0.906,1.5,1.6,1.1,0.3,0,0.7,6.4
Dario,Saric,,PF,GSW,57,14.1,0.458,0.829,0.8,3.6,1.3,0.4,0.1,1,6.4
Simone,Fontecchio,,F,UTH,52,14.7,0.369,0.795,1.2,1.7,0.8,0.3,0.2,0.8,6.3
Goran,Dragic,,PG,MIL,58,15,0.421,0.689,0.9,1.4,2.6,0.2,0.1,1.1,6.3
Quenton,Jackson,,G,CHI,9,15,0.452,0.773,0.1,0.9,1.7,0.4,0.1,0.4,6.2
Patrick,Beverley,,PG,PHI,67,27.1,0.4,0.723,1.2,3.7,2.9,0.9,0.6,0.9,6.2
Jared,Butler,,SG,WAS,6,12.8,0.469,0,1.2,0.7,1.3,0.8,0,0.8,6.2
Nickeil,Alexander-Walker,,SG,MIN,59,15,0.444,0.667,1,1.7,1.8,0.5,0.4,0.9,6.2
Patty,Mills,,PG,ATL,40,14.2,0.411,0.833,1.2,1.1,1.4,0.4,0.1,0.8,6.2
Nicolas,Batum,,PF,LAC,78,21.9,0.42,0.708,1.6,3.8,1.6,0.7,0.6,0.6,6.1
Oshae,Brissett,,SF,BOS,65,16.7,0.386,0.717,0.7,3.4,0.7,0.5,0.2,0.5,6.1
Sandro,Mamukelashvili,,PF,SAS,43,15.3,0.422,0.684,0.7,4.3,1.4,0.3,0.3,0.8,6.1
Evan,Fournier,,SG,NYK,27,17,0.337,0.857,1.3,1.8,1.3,0.6,0.1,0.8,6.1
Mike,Muscala,,C,WAS,63,15,0.449,0.769,1.3,3.2,0.8,0.2,0.4,0.4,6.1
Saben,Lee,,G,PHO,25,15,0.405,0.737,0.4,1.8,2.7,0.8,0,1,6
Robert,Covington,,PF,LAC,48,16.2,0.445,0.75,1.1,3.5,1.2,0.8,0.7,0.7,6
Andre,Drummond,,C,CHI,67,12.7,0.606,0.536,0,6.6,0.5,0.7,0.4,1.1,6
Maxi,Kleber,,PF,DAL,37,25.1,0.456,0.711,1.1,3.6,1.4,0.3,0.8,0.7,5.9
Jaylin,Williams,,F,OKC,49,18.7,0.436,0.704,0.9,4.9,1.6,0.6,0.2,0.8,5.9
Johnny,Davis,,G,WAS,28,15.1,0.386,0.519,0.6,2.3,1,0.4,0.3,0.6,5.8
Josh,Christopher,,SG,MEM,64,12.3,0.465,0.75,0.3,1.1,1.1,0.5,0.2,0.9,5.8
Stanley,Johnson,,SF,SAS,30,15.6,0.533,0.667,0.6,3.2,2.2,0.5,0.2,1.1,5.8
Rodney,McGruder,,G,GSW,32,16.4,0.408,0.818,1.3,2.3,0.9,0.5,0,0.3,5.7
Charles,Bassey,,C,SAS,35,14.5,0.644,0.595,0.1,5.5,1.3,0.5,0.9,1.2,5.7
Ziaire,Williams,,F,MEM,37,15.2,0.429,0.773,0.7,2.1,0.9,0.4,0.2,1,5.7
Jalen,Johnson,,SF,ATL,70,14.9,0.491,0.628,0.4,4,1.2,0.5,0.5,0.6,5.6
Derrick,Rose,,PG,MEM,27,12.5,0.384,0.917,0.7,1.5,1.7,0.3,0.2,0.8,5.6
Payton,Pritchard,,PG,BOS,48,13.4,0.412,0.75,1.2,1.8,1.3,0.3,0,0.8,5.6
Davion,Mitchell,,PG,SAC,80,18.1,0.454,0.806,0.8,1.3,2.3,0.6,0.2,0.8,5.6
James,Bouknight,,SG,CHA,34,15.1,0.358,0.667,1,2.1,1.2,0.4,0.1,0.9,5.6
Montrezl,Harrell,,C,PHI,57,11.9,0.598,0.693,0,2.8,0.6,0.3,0.4,0.6,5.6
Alex,Caruso,,SG,CHI,67,23.5,0.455,0.808,0.8,2.9,2.9,1.5,0.7,1.1,5.6
Yuta,Watanabe,,SF,PHO,58,16,0.491,0.723,1,2.4,0.8,0.4,0.3,0.4,5.6
Danny,Green,,F,PHI,11,12.6,0.449,1,1.5,1.3,0.5,0.5,0.3,0.9,5.5
Otto,Porter,Jr,SF,TOR,8,18.3,0.5,1,0.8,2.4,1,1.4,0,0.5,5.5
Jarrell,Brantley,,PF,UTH,4,9.8,0.571,1,1,1.5,0.8,0,0.5,0.5,5.5
Wenyen,Gabriel,,F,LAL,68,15.1,0.596,0.619,0.1,4.2,0.5,0.4,0.5,0.7,5.5
Nikola,Jovic,,F,MIA,15,13.6,0.406,0.947,0.5,2.1,0.7,0.5,0.1,0.7,5.5
Jamal,Cain,,F,MIA,18,13.3,0.561,0.773,0.4,2.9,0.7,0.6,0.1,0.3,5.4
Bryce,McGowens,,G,CHA,46,17.1,0.396,0.75,0.6,2,1.2,0.3,0.1,0.9,5.3
Lamar,Stevens,,PF,BOS,62,18.1,0.448,0.702,0.5,3.3,0.5,0.4,0.3,0.4,5.3
Dewayne,Dedmon,,C,PHI,38,11.2,0.51,0.673,0.3,3.5,0.7,0.2,0.5,0.7,5.2
Rudy,Gay,,SF,GSW,56,14.6,0.378,0.857,0.6,2.9,1,0.3,0.3,0.7,5.2
Zeke,Nnaji,,PF,DEN,53,13.7,0.561,0.645,0.3,2.6,0.3,0.3,0.4,0.6,5.2
Lindy,Waters,III,F,OKC,41,13,0.393,0.8,1.4,1.8,0.7,0.3,0.3,0.2,5.2
Darius,Bazley,,PF,BKN,43,14.3,0.454,0.543,0.5,3.2,0.9,0.5,0.8,0.6,5.2
Ricky,Rubio,,PG,CLE,33,17.2,0.343,0.8,0.6,2.1,3.5,0.8,0.2,0.9,5.2
Javonte,Green,,SF,CHI,32,15,0.565,0.667,0.4,2.8,0.7,0.8,0.7,0.6,5.2
MarJon,Beauchamp,,F,MIL,52,13.5,0.395,0.73,0.9,2.2,0.7,0.4,0.1,0.9,5.1
DeAndre,Jordan,,C,DEN,39,15,0.765,0.458,0,5.2,0.9,0.3,0.6,1.2,5.1
John,Konchar,,SG,MEM,72,20.8,0.431,0.778,0.8,4.3,1.4,1.1,0.3,0.5,5.1
George,Hill,,PG,IND,46,18.1,0.47,0.764,0.7,1.8,2.4,0.6,0.1,0.7,5
Cody,Martin,,SF,CHA,7,19.1,0.389,0.571,0.4,3.4,1.6,0.6,0.1,0.3,5
Jonathan,Isaac,,PF,ORL,11,11.3,0.415,0.556,0.5,4,0.5,1.3,0.4,0.4,5
Sam,Merrill,,SG,CLE,5,11.8,0.409,1,1,1.8,1,0.8,0,0,5
Kenneth,Lofton,Jr,F,MEM,24,7.3,0.527,0.593,0.3,2.1,0.8,0.2,0.1,0.5,5
Derrick,Jones,Jr,SF,DAL,64,14,0.5,0.738,0.4,2.4,0.5,0.5,0.6,0.4,5
Blake,Wesley,,G,SAS,37,18.1,0.321,0.591,0.5,2.2,2.7,0.7,0.1,1.8,5
Jaxson,Hayes,,C,LAL,47,13,0.551,0.699,0.1,2.8,0.7,0.4,0.4,0.7,5
Isaiah,Hartenstein,,C,NYK,82,19.9,0.535,0.676,0.1,6.5,1.2,0.6,0.8,0.8,5
Vlatko,Cancar,,SF,DEN,60,14.8,0.476,0.927,0.7,2.1,1.3,0.4,0.2,0.6,5
Ousmane,Dieng,,F,OKC,39,14.6,0.42,0.652,0.7,2.7,1.2,0.4,0.2,0.7,4.9
Austin,Rivers,,SG,MIN,52,19.5,0.435,0.769,0.8,1.6,1.4,0.5,0.1,0.4,4.9
Chimezie,Metu,,PF,PHO,66,10.4,0.589,0.74,0.1,3,0.6,0.3,0.3,0.5,4.9
Johnny,Juzang,,G,UTH,18,12.9,0.337,0.5,0.8,2.2,0.4,0.2,0.2,0.2,4.8
Moses,Moody,,SG,GSW,63,13,0.476,0.698,0.8,1.7,0.8,0.3,0.1,0.5,4.8
Danuel,House,Jr,SF,PHI,56,14.4,0.472,0.75,0.7,1.7,0.8,0.3,0.2,0.5,4.8
Meyers,Leonard,,C,MIL,9,12.7,0.483,0.889,0.8,3.8,0.1,0.2,0,0.7,4.8
Garrison,Mathews,,SG,ATL,54,12.7,0.363,0.906,1.2,1.4,0.5,0.4,0.1,0.4,4.8
Chuma,Okeke,,PF,ORL,27,19.2,0.352,0.762,1,3.6,1.4,0.7,0.4,0.6,4.7
Christian,Braun,,G,DEN,76,15.5,0.495,0.625,0.4,2.4,0.8,0.5,0.2,0.5,4.7
Day'Ron,Sharpe,,C,BKN,48,11.5,0.544,0.636,0.1,4.2,0.8,0.3,0.7,0.9,4.7
Keon,Johnson,,SG,PHO,40,10.4,0.376,0.659,0.7,1.1,1.5,0.5,0.2,1.1,4.7
Dean,Wade,,PF,CLE,44,20.3,0.412,0.652,1,3.4,0.8,0.6,0.5,0.4,4.7
TyTy,Washington,Jr,G,MIL,31,14,0.363,0.556,0.6,1.5,1.5,0.5,0.1,0.5,4.7
Malachi,Flynn,,PG,TOR,53,13,0.36,0.758,0.9,1.4,1.3,0.4,0.1,0.5,4.6
Gary,Payton,II,SG,GSW,22,16.7,0.594,0.857,0.6,3.1,1.4,1,0.2,0.7,4.6
Dalano,Banton,,G,BOS,31,9,0.423,0.708,0.5,1.5,1.2,0.4,0.4,0.6,4.6
Davis,Bertans,,SF,OKC,45,10.9,0.431,0.867,1.2,1.2,0.5,0.2,0.2,0.2,4.6
Kira,Lewis,Jr,PG,NOR,25,9.4,0.455,0.864,0.6,1.3,0.9,0.4,0.1,0.4,4.6
Justin,Holiday,,SF,DEN,46,15.3,0.377,0.625,1,1.2,0.9,0.4,0.4,0.5,4.5
Thaddeus,Young,,PF,TOR,54,14.7,0.545,0.692,0.1,3.1,1.4,1,0.1,0.8,4.4
Omer,Yurtseven,,C,UTH,9,9.2,0.593,0.833,0.3,2.6,0.2,0.2,0.2,0.4,4.4
JaVale,McGee,,C,SAC,42,8.5,0.64,0.585,0,2.5,0.3,0.1,0.6,0.9,4.4
Jarrett,Culver,,G,ATL,10,13.7,0.395,0.692,0.1,3.8,0.6,0.6,0.2,0.7,4.4
AJ,Green,,G,MIL,35,9.9,0.424,1,1.3,1.3,0.6,0.2,0,0.3,4.4
Goga,Bitadze,,C,ORL,38,12,0.552,0.548,0.2,3.6,1,0.4,0.7,0.6,4.4
Haywood,Highsmith,,F,MIA,54,17.9,0.431,0.464,0.7,3.5,0.8,0.7,0.3,0.8,4.4
Bismack,Biyombo,,C,PHO,61,14.3,0.578,0.357,0,4.3,0.9,0.3,1.4,0.8,4.3
Moses,Brown,,C,POR,36,8.2,0.635,0.458,0,3.9,0.1,0.1,0.4,0.4,4.3
Michael,Carter-Williams,,G,ORL,4,11,0.429,0.571,0.3,1.3,1.8,0.3,0.3,1,4.3
